,256x256x64,512x512x64,512x64x64
0,0.8253,0.7917,0.7917
1,0.7372,0.7869,0.7869
2,0.7788,0.8061,0.8061
3,0.7388,0.7628,0.7628
4,0.7324,0.8173,0.8173
5,0.7885,0.8221,0.8221
6,0.7853,0.7388,0.7388
7,0.7564,0.7933,0.7933
8,0.8173,0.8221,0.8221
9,0.7308,0.7035,0.7035
10,0.7564,0.7724,0.7724
11,0.7292,0.758,0.758
12,0.742,0.7388,0.7388
13,0.7484,0.7708,0.7708
14,0.7163,0.7917,0.7917
15,0.7901,0.7772,0.7772
16,0.7981,0.7933,0.7933
17,0.7644,0.8157,0.8157
18,0.7821,0.7468,0.7468
19,0.7965,0.8045,0.8045
20,0.7324,0.734,0.734
21,0.7051,0.8189,0.8189
22,0.7997,0.7628,0.7628
23,0.8253,0.7981,0.7981
24,0.7885,0.7821,0.7821
25,0.7901,0.7228,0.7228
26,0.8109,0.7724,0.7724
27,0.758,0.7548,0.7548
28,0.7163,0.7804,0.7804
29,0.8285,0.7804,0.7804
30,0.7115,0.7532,0.7532
31,0.8205,0.7628,0.7628
32,0.7324,0.8301,0.8301
33,0.7212,0.7468,0.7468
34,0.7324,0.7772,0.7772
35,0.8061,0.7708,0.7708
36,0.7981,0.7115,0.7115
37,0.7196,0.7276,0.7276
38,0.7404,0.7981,0.7981
39,0.7276,0.8141,0.8141
40,0.758,0.7949,0.7949
41,0.7404,0.8301,0.8301
42,0.7788,0.8109,0.8109
43,0.7516,0.7612,0.7612
44,0.7003,0.7516,0.7516
45,0.7596,0.8045,0.8045
46,0.6859,0.7708,0.7708
47,0.8221,0.8029,0.8029
48,0.8029,0.7708,0.7708
49,0.8077,0.7596,0.7596
50,0.7548,0.7388,0.7388
